Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[0]	validation_0-logloss:0.69232
[1]	validation_0-logloss:0.69170
[2]	validation_0-logloss:0.69083
[3]	validation_0-logloss:0.68996
[4]	validation_0-logloss:0.68935
[5]	validation_0-logloss:0.68863
[6]	validation_0-logloss:0.68801
[7]	validation_0-logloss:0.68725
[8]	validation_0-logloss:0.68673
[9]	validation_0-logloss:0.68599
[10]	validation_0-logloss:0.68546
[11]	validation_0-logloss:0.68489
[12]	validation_0-logloss:0.68425
[13]	validation_0-logloss:0.68364
[14]	validation_0-logloss:0.68315
[15]	validation_0-logloss:0.68234
[16]	validation_0-logloss:0.68168
[17]	validation_0-logloss:0.68107
[18]	validation_0-logloss:0.68024
[19]	validation_0-logloss:0.67982
[20]	validation_0-logloss:0.67917
[21]	validation_0-logloss:0.67832
[22]	validation_0-logloss:0.67757
[23]	validation_0-logloss:0.67679
[24]	validation_0-logloss:0.67658
[25]	validation_0-logloss:0.67580
[26]	validation_0-logloss:0.67509
[27]	validation_0-logloss:0.67463
[28]	validation_0-logloss:0.67415
[29]	validation_0-logloss:0.67354
[30]	validation_0-logloss:0.67223
[31]	validation_0-logloss:0.67165
[32]	validation_0-logloss:0.67079
[33]	validation_0-logloss:0.67012
[34]	validation_0-logloss:0.66929
[35]	validation_0-logloss:0.66860
[36]	validation_0-logloss:0.66762
[37]	validation_0-logloss:0.66690
[38]	validation_0-logloss:0.66612
[39]	validation_0-logloss:0.66549
[40]	validation_0-logloss:0.66459
[41]	validation_0-logloss:0.66426
[42]	validation_0-logloss:0.66362
[43]	validation_0-logloss:0.66277
[44]	validation_0-logloss:0.66188
[45]	validation_0-logloss:0.66116
[46]	validation_0-logloss:0.66047
[47]	validation_0-logloss:0.65971
[48]	validation_0-logloss:0.65917
[49]	validation_0-logloss:0.65846
[50]	validation_0-logloss:0.65767
[51]	validation_0-logloss:0.65704
[52]	validation_0-logloss:0.65637
[53]	validation_0-logloss:0.65562
[54]	validation_0-logloss:0.65539
[55]	validation_0-logloss:0.65467
[56]	validation_0-logloss:0.65408
[57]	validation_0-logloss:0.65356
[58]	validation_0-logloss:0.65295
[59]	validation_0-logloss:0.65238
[60]	validation_0-logloss:0.65121
[61]	validation_0-logloss:0.65062
[62]	validation_0-logloss:0.65037
[63]	validation_0-logloss:0.64954
[64]	validation_0-logloss:0.64915
[65]	validation_0-logloss:0.64831
[66]	validation_0-logloss:0.64762
[67]	validation_0-logloss:0.64663
[68]	validation_0-logloss:0.64586
[69]	validation_0-logloss:0.64538
[70]	validation_0-logloss:0.64442
[71]	validation_0-logloss:0.64370
[72]	validation_0-logloss:0.64322
[73]	validation_0-logloss:0.64250
[74]	validation_0-logloss:0.64192
